LoB,회사명,연,월,기준일,위험지표,자산총계,매출액
CM1,동원산업,2017,12,2017-12-31,1,1.45343E+12,9.17357E+11
CM1,동원산업,2018,12,2018-12-31,1,1.48549E+12,9.21594E+11
CM1,동원산업,2019,12,2019-12-31,3,1.56958E+12,7.03154E+11
CM1,동원산업,2020,12,2020-12-31,1,1.63411E+12,7.02071E+11
CM1,동원산업,2021,12,2021-12-31,0,1.63544E+12,7.10002E+11
CM1,동원산업,2022,9,2022-09-30,1,1.74988E+12,7.23219E+11
CM1,롯데케미칼,2017,12,2017-12-31,0,1.52694E+13,0
CM1,롯데케미칼,2018,12,2018-12-31,0,1.52019E+13,0
CM1,롯데케미칼,2019,12,2019-12-31,0,1.43962E+13,0
CM1,롯데케미칼,2020,12,2020-12-31,3,1.51761E+13,0
CM1,롯데케미칼,2021,12,2021-12-31,1,1.74274E+13,0
CM1,롯데케미칼,2022,9,2022-09-30,3,1.85318E+13,0
CM1,신세계푸드,2017,12,2017-12-31,0,5.88037E+11,1.18569E+12
CM1,신세계푸드,2018,12,2018-12-31,0,6.17579E+11,1.26368E+12
CM1,신세계푸드,2019,12,2019-12-31,0,7.239E+11,1.30587E+12
CM1,신세계푸드,2020,12,2020-12-31,3,8.7988E+11,1.22618E+12
CM1,신세계푸드,2021,12,2021-12-31,1,8.71653E+11,1.3227E+12
CM1,신세계푸드,2022,9,2022-09-30,2,8.66458E+11,1.04587E+12
CM1,진양홀딩스,2017,12,2017-12-31,0,1.88078E+11,13058773409
CM1,진양홀딩스,2018,12,2018-12-31,0,2.37029E+11,27395153816
CM1,진양홀딩스,2019,12,2019-12-31,3,2.37991E+11,9279889686
CM1,진양홀딩스,2020,12,2020-12-31,2,2.41864E+11,12919829269
CM1,진양홀딩스,2021,12,2021-12-31,0,2.59009E+11,21945213511
CM1,진양홀딩스,2022,9,2022-09-30,3,2.48451E+11,13350711820
CM1,코오롱플라스틱,2017,12,2017-12-31,0,3.52922E+11,2.60081E+11
CM1,코오롱플라스틱,2018,12,2018-12-31,0,3.45241E+11,3.18657E+11
CM1,코오롱플라스틱,2019,12,2019-12-31,1,3.44044E+11,3.2838E+11
CM1,코오롱플라스틱,2020,12,2020-12-31,2,3.18547E+11,2.93645E+11
CM1,코오롱플라스틱,2021,12,2021-12-31,1,3.68804E+11,4.05229E+11
CM1,코오롱플라스틱,2022,9,2022-09-30,2,3.81764E+11,3.84805E+11
CM2,BGF리테일,2017,12,2017-12-31,2,1.23105E+12,9.38657E+11
CM2,BGF리테일,2018,12,2018-12-31,1,1.43585E+12,5.77416E+12
CM2,BGF리테일,2019,12,2019-12-31,1,2.1142E+12,5.9434E+12
CM2,BGF리테일,2020,12,2020-12-31,1,2.3083E+12,6.16781E+12
CM2,BGF리테일,2021,12,2021-12-31,2,2.52296E+12,6.76209E+12
CM2,BGF리테일,2022,9,2022-09-30,2,2.83685E+12,5.63954E+12
CM2,사조오양,2017,12,2017-12-31,0,3.024E+11,3.10187E+11
CM2,사조오양,2018,12,2018-12-31,0,3.0829E+11,2.96146E+11
CM2,사조오양,2019,12,2019-12-31,0,3.11157E+11,3.13596E+11
CM2,사조오양,2020,12,2020-12-31,0,3.18742E+11,3.27621E+11
CM2,사조오양,2021,12,2021-12-31,0,3.15948E+11,3.28882E+11
CM2,사조오양,2022,9,2022-09-30,2,3.26801E+11,2.63386E+11
CM2,에이블씨엔씨,2017,12,2017-12-31,0,3.53152E+11,3.32201E+11
CM2,에이블씨엔씨,2018,12,2018-12-31,4,3.61826E+11,3.08391E+11
CM2,에이블씨엔씨,2019,12,2019-12-31,3,3.78002E+11,3.2003E+11
CM2,에이블씨엔씨,2020,12,2020-12-31,3,2.46847E+11,2.25578E+11
CM2,에이블씨엔씨,2021,12,2021-12-31,5,1.72713E+11,1.9945E+11
CM2,에이블씨엔씨,2022,9,2022-09-30,3,1.76446E+11,1.42415E+11
CM2,크라운제과,2017,12,2017-12-31,1,3.28674E+11,3.44293E+11
CM2,크라운제과,2018,12,2018-12-31,1,3.32756E+11,3.88532E+11
CM2,크라운제과,2019,12,2019-12-31,0,3.32903E+11,3.86614E+11
CM2,크라운제과,2020,12,2020-12-31,0,3.2704E+11,3.81539E+11
CM2,크라운제과,2021,12,2021-12-31,0,3.2457E+11,3.81212E+11
CM2,크라운제과,2022,9,2022-09-30,0,3.39843E+11,3.04422E+11
CM2,크라운해태홀딩스,2017,12,2017-12-31,2,3.55141E+11,12955222731
CM2,크라운해태홀딩스,2018,12,2018-12-31,1,3.57023E+11,18172593653
CM2,크라운해태홀딩스,2019,12,2019-12-31,3,3.35837E+11,17119663181
CM2,크라운해태홀딩스,2020,12,2020-12-31,1,3.56239E+11,16803565862
CM2,크라운해태홀딩스,2021,12,2021-12-31,1,3.55741E+11,16719174508
CM2,크라운해태홀딩스,2022,9,2022-09-30,1,3.55021E+11,13991473080
ICE1,신테카바이오,2017,12,2017-12-31,0,0,0
ICE1,신테카바이오,2018,12,2018-12-31,0,0,0
ICE1,신테카바이오,2019,12,2019-12-31,4,47946292096,461374128
ICE1,신테카바이오,2020,12,2020-12-31,2,44777915774,0
ICE1,신테카바이오,2021,12,2021-12-31,2,67651592757,0
ICE1,신테카바이오,2022,9,2022-09-30,6,57984332357,0
ICE1,에스엠,2017,12,2017-12-31,0,4.36118E+11,2.16129E+11
ICE1,에스엠,2018,12,2018-12-31,0,5.34319E+11,2.81638E+11
ICE1,에스엠,2019,12,2019-12-31,0,5.65048E+11,3.07504E+11
ICE1,에스엠,2020,12,2020-12-31,2,5.41611E+11,3.02602E+11
ICE1,에스엠,2021,12,2021-12-31,0,7.05293E+11,4.17155E+11
ICE1,에스엠,2022,9,2022-09-30,1,7.76278E+11,3.61044E+11
ICE1,인포뱅크,2017,12,2017-12-31,1,65650428221,79879471905
ICE1,인포뱅크,2018,12,2018-12-31,2,66515121485,76182077759
ICE1,인포뱅크,2019,12,2019-12-31,1,65380274103,72710688486
ICE1,인포뱅크,2020,12,2020-12-31,1,67786759742,79068982192
ICE1,인포뱅크,2021,12,2021-12-31,1,80945285932,1.01027E+11
ICE1,인포뱅크,2022,9,2022-09-30,3,74115883861,79495028593
ICE1,케이씨텍,2017,12,2017-12-31,1,2.66588E+11,0
ICE1,케이씨텍,2018,12,2018-12-31,0,3.13521E+11,0
ICE1,케이씨텍,2019,12,2019-12-31,0,3.37558E+11,0
ICE1,케이씨텍,2020,12,2020-12-31,1,4.07295E+11,0
ICE1,케이씨텍,2021,12,2021-12-31,1,4.53026E+11,0
ICE1,케이씨텍,2022,9,2022-09-30,0,4.79346E+11,0
ICE1,케이탑리츠,2017,12,2017-12-31,3,1.49016E+11,8564156392
ICE1,케이탑리츠,2018,12,2018-12-31,6,2.02204E+11,0
ICE1,케이탑리츠,2019,12,2019-12-31,8,2.10773E+11,0
ICE1,케이탑리츠,2020,12,2020-12-31,6,2.29462E+11,0
ICE1,케이탑리츠,2021,12,2021-12-31,6,2.477E+11,0
ICE1,케이탑리츠,2022,9,2022-09-30,5,2.62527E+11,0
ICE2,CJ CGV,2017,12,2017-12-31,4,1.59566E+12,9.32126E+11
ICE2,CJ CGV,2018,12,2018-12-31,3,1.35211E+12,9.7476E+11
ICE2,CJ CGV,2019,12,2019-12-31,5,2.31128E+12,1.04637E+12
ICE2,CJ CGV,2020,12,2020-12-31,4,2.47765E+12,3.2576E+11
